Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
prev_credit_to_application_ratio,11,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.4426346889867237,11.687265410847852
prev_credit_to_application_ratio,12,Missing,10508,0.05695207743921607,9857,651,0.061952797868290825,0.2849455058769679,0.004105891751998121,0.0005115071669301572,-0.4426346889867237,11.687265410847852
prev_days_since_first,0,"(-inf, -2763.50)",13419,0.07272934213521512,12621,798,0.0594679186228482,0.3285267812289199,0.006845322715890739,0.0008518379929925938,-0.1941030202786518,13.527222126171818
prev_days_since_first,1,"[-2763.50, -2427.50)",27829,0.15082978331327979,25978,1851,0.06651334938373639,0.2090419988138299,0.006039713907791418,0.0007535926162363909,-0.1941030202786518,12.858032153405254
prev_days_since_first,2,"[-2427.50, -2040.50)",21121,0.11447324206258876,19648,1473,0.0697410160503764,0.15819242090433683,0.002681250416189724,0.0003348072706444334,-0.1941030202786518,12.573242517698912
prev_days_since_first,3,"[-2040.50, -1822.50)",9378,0.05082761536210204,8702,676,0.07208359991469396,0.12263309365775932,0.0007261445771635571,9.071123780642824e-05,-0.1941030202786518,12.374087907791624
prev_days_since_first,4,"[-1822.50, -1122.50)",33798,0.18318103476309713,31157,2641,0.0781407183857033,0.03539931219413317,0.00022616587641439143,2.8269258545245797e-05,-0.1941030202786518,11.885523835764692
prev_days_since_first,5,"[-1122.50, -753.50)",23388,0.12676010536242724,21257,2131,0.09111510176158714,-0.1323870938053937,0.002348571846668961,0.00029335728376173997,-0.1941030202786518,10.945814374928425
prev_days_since_first,6,"[-753.50, -314.50)",36249,0.1964651556046958,32560,3689,0.10176832464343843,-0.2547528710601008,0.014189307206628511,0.0017688827009749355,-0.1941030202786518,10.260489018062767
prev_days_since_first,7,"[-314.50, inf)",9454,0.051239526085872546,8441,1013,0.10715041252379945,-0.3122974338448654,0.0056971108451952515,0.0007092589496193935,-0.1941030202786518,9.938203253930705
prev_days_since_first,8,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.1941030202786518,11.687265410847852
prev_days_since_first,9,Missing,9870,0.0534941953107216,9247,623,0.06312056737588652,0.26502594121028356,0.0033639089435307653,0.00041926231545179196,-0.1941030202786518,11.687265410847852
bureau_closed_count,0,"(-inf, 0.50)",19945,0.10809946560003468,17748,2197,0.11015292053146152,-0.343301953465712,0.014713825990032764,0.001830249283465044,-0.07377659280364303,10.956463955114465
bureau_closed_count,1,"[0.50, 1.50)",32204,0.17454174931980532,29527,2677,0.08312631971183704,-0.031873659124823206,0.00017970858212498702,2.2462621921380934e-05,-0.07377659280364303,11.619414598311485
bureau_closed_count,2,"[1.50, 2.50)",25865,0.14018514303057894,23947,1918,0.07415426251691475,0.09207808500963255,0.001143585301755034,0.0001428976854524755,-0.07377659280364303,11.883275942937361
bureau_closed_count,3,"[2.50, 7.50)",62814,0.34044421319631885,58515,4299,0.06844015665297545,0.17841870053268316,0.010058348962625908,0.001255628615136433,-0.07377659280364303,12.0670728799375
bureau_closed_count,4,"[7.50, inf)",17337,0.0939644239211733,16200,1137,0.06558228067139643,0.22413603389003756,0.004298555435631487,0.0005361975263508461,-0.07377659280364303,12.16439331005017
bureau_closed_count,5,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.07377659280364303,11.687265410847852
bureau_closed_count,6,Missing,26341,0.14276500493208893,23674,2667,0.1012490034546904,-0.24905883924807704,0.009831638100687247,0.0012257882298349135,-0.07377659280364303,11.687265410847852
floorsmax_medi,0,"(-inf, 0.05)",10848,0.058794835940294624,9807,1041,0.09596238938053098,-0.18956736680255082,0.0022878283191310584,0.00028555110514622744,-0.19323055091197164,10.630341059151068
floorsmax_medi,1,"[0.05, 0.20)",47254,0.25611091238225314,43756,3498,0.07402547932450163,0.09395537608123217,0.0021736241369363775,0.000271603124164679,-0.19323055091197164,12.211109396382115
floorsmax_medi,2,"[0.20, 0.34)",22643,0.12272229629388746,21294,1349,0.05957691118668021,0.3265797720868937,0.01142336790736285,0.0014216090529188437,-0.19323055091197164,13.508096283335231
floorsmax_medi,3,"[0.34, inf)",12165,0.06593281519300186,11534,631,0.051870119194410196,0.47326661805424264,0.012134298530918136,0.0015027884678952084,-0.19323055091197164,14.325942214264732
floorsmax_medi,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.19323055091197164,11.687265410847852
floorsmax_medi,5,Missing,91596,0.4964391401905629,83220,8376,0.09144504126817765,-0.1363647635933427,0.009775201055626851,0.0012209542755261399,-0.19323055091197164,11.687265410847852
days_id_publish,0,"(-inf, -4788.50)",15041,0.0815203841609487,14134,907,0.060301841632870154,0.313714077555761,0.007039412080597603,0.0008763358683719722,-0.1308688550641342,12.871873912437879
days_id_publish,1,"[-4788.50, -4452.50)",20349,0.11028909628955155,19119,1230,0.060445230723868495,0.3111864420360386,0.009380589415754094,0.0011678652782079156,-0.1308688550641342,12.86232936617807
days_id_publish,2,"[-4452.50, -4218.50)",16540,0.08964478119952739,15463,1077,0.06511487303506651,0.2317886817391397,0.004371834257356741,0.0005452592197433773,-0.1308688550641342,12.562517312515302
days_id_publish,3,"[-4218.50, -4052.50)",12175,0.06598701397244534,11278,897,0.07367556468172484,0.09907134872842915,0.0006213535050385329,7.76374398205942e-05,-0.1308688550641342,12.061366448589224
days_id_publish,4,"[-4052.50, -3413.50)",23156,0.12550269367933833,21345,1811,0.07820867161858698,0.03445634772874673,0.0001468655751682011,1.8357288800598332e-05,-0.1308688550641342,11.817375231775351
days_id_publish,5,"[-3413.50, -2884.50)",16347,0.08859874475626808,15040,1307,0.07995350828898269,0.010496890299706685,9.719362086757207e-06,1.2149146831407583e-06,-0.1308688550641342,11.726902476503856
days_id_publish,6,"[-2884.50, -1848.50)",31249,0.16936576588295232,28462,2787,0.08918685397932734,-0.10887787781824487,0.0021015886588653023,0.0002625689037160711,-0.1308688550641342,11.276134164512092
days_id_publish,7,"[-1848.50, -1031.50)",22719,0.12313420701765797,20553,2166,0.09533870328799683,-0.18235722646982921,0.004420456488151831,0.0005517927142606521,-0.1308688550641342,10.998670488727594
days_id_publish,8,"[-1031.50, -496.50)",14583,0.079038080062437,13145,1438,0.09860796818212987,-0.2196937946969122,0.004183320103809012,0.0005218659324563802,-0.1308688550641342,10.857684733524636
days_id_publish,9,"[-496.50, inf)",12347,0.06691923297887331,11072,1275,0.10326395075726898,-0.27100877331497797,0.005507009218263988,0.0006862772619034485,-0.1308688550641342,10.663915424848756
days_id_publish,10,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.1308688550641342,11.687265410847852
days_id_publish,11,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.1308688550641342,11.687265410847852
cc_over_limit_months,0,"(-inf, 0.50)",29490,0.15983220057884295,27657,1833,0.062156663275686676,0.2814428980470969,0.011257695668870442,0.001402585883104393,-0.29623190524041554,14.092883387610733
cc_over_limit_months,1,"[0.50, 3.50)",9742,0.05280045093384497,8642,1100,0.11291315951549989,-0.3711581358744853,0.008498927946095584,0.0010563097793794187,-0.29623190524041554,8.51481128222369
cc_over_limit_months,2,"[3.50, inf)",12999,0.07045299339858867,11428,1571,0.12085545041926302,-0.4481278684848593,0.01707095134898779,0.0021161912708347417,-0.29623190524041554,7.856916648111575
cc_over_limit_months,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.29623190524041554,11.687265410847852
